"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190801","분당선","1872","매교","2348","2405","20190804"
"20190801","분당선","1871","수원시청","11930","13290","20190804"
"20190801","분당선","1870","매탄권선","4609","4360","20190804"
"20190801","분당선","1869","망포","14103","13044","20190804"
"20190801","분당선","1868","영통","9303","9380","20190804"
"20190801","분당선","1867","청명","4494","4133","20190804"
"20190801","분당선","1866","상갈","5900","5573","20190804"
"20190801","분당선","1865","기흥","10424","9952","20190804"
"20190801","분당선","1864","신갈","5242","5028","20190804"
"20190801","분당선","1863","구성","5142","5183","20190804"
"20190801","분당선","1862","죽전","15723","17636","20190804"
"20190801","분당선","1861","보정","2795","2252","20190804"
"20190801","분당선","1860","이매","6584","6296","20190804"
"20190801","분당선","1859","오리","13578","11524","20190804"
"20190801","분당선","1858","미금","18313","19598","20190804"
"20190801","분당선","1857","정자","18410","19798","20190804"
"20190801","분당선","1856","수내","15011","15169","20190804"
"20190801","분당선","1855","서현","29673","30184","20190804"
"20190801","분당선","1854","야탑","30773","32168","20190804"
"20190801","분당선","1853","모란","21651","21634","20190804"
"20190801","분당선","1852","태평","14650","13971","20190804"
"20190801","분당선","1851","가천대","7286","8226","20190804"
"20190801","분당선","1850","선정릉","8805","9714","20190804"
"20190801","분당선","1849","강남구청","10139","11967","20190804"
"20190801","분당선","1848","압구정로데오","17951","20422","20190804"
"20190801","분당선","1847","서울숲","9322","9222","20190804"
"20190801","분당선","1846","수원","9036","6086","20190804"
"20190801","분당선","1030","수서","14910","15208","20190804"
"20190801","분당선","1028","대모산입구","3550","3221","20190804"
"20190801","분당선","1027","개포동","3152","3363","20190804"
"20190801","분당선","1026","구룡","1457","1415","20190804"
"20190801","분당선","1025","도곡","7331","7256","20190804"
"20190801","분당선","1024","한티","16189","16922","20190804"
"20190801","분당선","1023","선릉","12784","21319","20190804"
"20190801","과천선","1457","범계","29985","28965","20190804"
"20190801","과천선","1456","평촌","18588","18341","20190804"
"20190801","과천선","1455","인덕원","25887","26115","20190804"
"20190801","과천선","1454","정부과천청사","11628","11436","20190804"
"20190801","과천선","1453","과천","5583","4898","20190804"
"20190801","과천선","1452","대공원","4945","5359","20190804"
